snapshot_year,row_count,zoning_known_count,zoning_unknown_count,exact_year_count,prior_available_year_count,unavailable_count,review_required_count
2005,110017,109807,210,109807,0,210,1502
2006,110017,109807,210,109807,0,210,1541
2007,110017,107652,2365,107652,0,2365,3785
2008,110017,106955,3062,43613,63342,3062,4525
2009,110017,108974,1043,83319,25655,1043,2357
2010,110017,109954,63,109954,0,63,1208
2011,110017,109947,70,109947,0,70,1137
2012,110017,109948,69,109948,0,69,1103
2013,110017,109948,69,76158,33790,69,1106
2014,110017,109942,75,109942,0,75,1088
2015,110017,109941,76,109941,0,76,1089
2016,110017,109941,76,0,109941,76,1089
2017,110017,109941,76,0,109941,76,1089
2018,110017,109941,76,0,109941,76,1089
2019,110017,109941,76,0,109941,76,1089
2020,110017,109941,76,0,109941,76,1089
2021,110017,109941,76,0,109941,76,110017
2022,110017,109941,76,0,109941,76,110017
2023,110017,109941,76,0,109941,76,110017
2024,110017,109941,76,0,109941,76,110017
2025,110017,109941,76,0,109941,76,110017
2026,110017,109941,76,0,109941,76,110017
