source_key,source_name,source_group,source_type,jurisdiction,layer_id,full_layer_url,source_status,layer_name,geometry_type,record_count,field_names,land_use_field_candidates,parcel_link_field_candidates,status_field_candidates,date_field_candidates,value_field_candidates,utility_field_candidates,readiness,current_context_only,time_safe_for_training
concord_central_area_plan_boundary,Concord Central Area Plan Boundary,central_area_plan,planning_boundary,Concord,50,https://maps2.concordnc.gov/server/rest/services/Planning_Webmap_Public_MIL1/MapServer/50,active,CentralAreaPlan_Boundary,esriGeometryPolygon,1,"[""OBJECTID"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]",[],[],[],[],[],[],ready_for_concord_only_current_context_features,True,False
concord_primary_activity_areas,Concord Central Area Primary Activity Areas,central_area_plan,activity_area,Concord,51,https://maps2.concordnc.gov/server/rest/services/Planning_Webmap_Public_MIL1/MapServer/51,active,CentralAreaPlan_PrimaryActivity,esriGeometryPolygon,3,"[""OBJECTID"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]",[],[],[],[],[],[],ready_for_concord_only_current_context_features,True,False
concord_service_nodes,Concord Central Area Service Nodes,central_area_plan,service_node,Concord,52,https://maps2.concordnc.gov/server/rest/services/Planning_Webmap_Public_MIL1/MapServer/52,active,CentralAreaPlan_ServiceNode,esriGeometryPolygon,1,"[""OBJECTID"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]",[],[],[],[],[],[],ready_for_concord_only_current_context_features,True,False
concord_special_corridors,Concord Central Area Special Corridors,central_area_plan,special_corridor,Concord,53,https://maps2.concordnc.gov/server/rest/services/Planning_Webmap_Public_MIL1/MapServer/53,active,CentralAreaPlan_SpecialCorridor,esriGeometryPolygon,1,"[""OBJECTID"", ""LandUse"", ""Acres"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]","[""LandUse""]",[],[],[],"[""LandUse""]",[],ready_for_concord_only_current_context_features,True,False
concord_special_use_areas,Concord Central Area Special Use Areas,central_area_plan,special_use_area,Concord,54,https://maps2.concordnc.gov/server/rest/services/Planning_Webmap_Public_MIL1/MapServer/54,active,CentralAreaPlan_SpecialUse,esriGeometryPolygon,1,"[""OBJECTID"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]",[],[],[],[],[],[],ready_for_concord_only_current_context_features,True,False
concord_central_area_future_land_use,Concord Central Area Future Land Use,central_area_plan,future_land_use,Concord,55,https://maps2.concordnc.gov/server/rest/services/Planning_Webmap_Public_MIL1/MapServer/55,active,CentralAreaPlan_LandUse,esriGeometryPolygon,30,"[""OBJECTID"", ""Shape"", ""Shape.STArea()"", ""Shape.STLength()""]",[],[],[],[],[],[],ready_for_concord_only_current_context_features,True,False
cabarrus_accela_plan_reviews,Cabarrus Accela Plan Reviews,accela_plan_reviews,plan_review,Cabarrus County,0,https://location.cabarruscounty.us/arcgisservices/rest/services/Current_Accela_Permits/Plan_Reviews/MapServer/0,active,AccelaQuery,esriGeometryPoint,128619,"[""OBJECTID"", ""B1_ALT_ID"", ""B1_PER_ID1"", ""B1_PER_ID2"", ""B1_PER_ID3"", ""B1_PER_SUB_TYPE"", ""ParcelNum"", ""StreetAddress"", ""B1_APPL_STATUS"", ""B1_FILE_DD"", ""B1_APPL_STATUS_DATE"", ""DaysUntilLastStatus"", ""DaysOpen"", ""B6_ADDR_TYPE"", ""ReviewType"", ""IsResubmittal"", ""LastUpdateDate"", ""Shape"", ""PermitDist""]",[],"[""ParcelNum""]","[""B1_APPL_STATUS"", ""B1_APPL_STATUS_DATE"", ""DaysUntilLastStatus"", ""DaysOpen"", ""ReviewType""]","[""B1_FILE_DD"", ""B1_APPL_STATUS_DATE"", ""DaysOpen"", ""IsResubmittal"", ""LastUpdateDate""]",[],[],ready_for_current_pipeline_signal_if_parcel_key_found,True,False
wsacc_manholes_revalmap,RevalMap WSACC Manholes,utility_proxy,sewer_manhole_proxy,WSACC/RevalMap,43,https://location.cabarruscounty.us/arcgisservices/rest/services/RevalMap/MapServer/43,active,WSACC Manhole,esriGeometryPoint,1642,"[""OBJECTID"", ""CID"", ""WSACC_ID"", ""X_COORD"", ""Y_COORD"", ""INVERTOUT"", ""INVERTIN"", ""INVERTIN2"", ""INVERTIN3"", ""RIM_ELEV"", ""FAL"", ""OWNER"", ""INCLUDE"", ""FACILITY_I"", ""FEATURE_ID"", ""PWTYPE"", ""GND_ELEV"", ""GPS"", ""RNSNODE"", ""SHAPE""]",[],[],[],[],[],"[""WSACC_ID""]",ready_for_current_utility_proxy_features_not_capacity,True,False
wsacc_sewer_lines_revalmap,RevalMap WSACC Sewer Lines,utility_proxy,sewer_line_proxy,WSACC/RevalMap,44,https://location.cabarruscounty.us/arcgisservices/rest/services/RevalMap/MapServer/44,active,WSACC Line,esriGeometryPolyline,1686,"[""OBJECTID"", ""WSACC_ID"", ""LENGTH"", ""SZ"", ""MA"", ""INCLUDE"", ""U_S_NODE"", ""D_S_NODE"", ""OWNER"", ""SI"", ""YR"", ""FAL"", ""MAPKEY"", ""LAYER"", ""PIPENO"", ""LR"", ""LI"", ""LN"", ""INFLZONE"", ""REGION"", ""INVERTOUT"", ""INVERTIN"", ""ADJLEN"", ""TIF_FILE"", ""TIF_REC"", ""DATACK"", ""VIEWED"", ""FACILITY_I"", ""PWTYPE"", ""PWFNODE"", ""PWTNODE"", ""PWFSID"", ""PWTSID"", ""PWFUID"", ""PWTUID"", ""PW_ID"", ""FEATURE_ID"", ""BUILT_1"", ""GPS"", ""PIPE_TYPE"", ""SHAPE"", ""SHAPE.STLength()""]",[],[],[],"[""TIF_FILE""]",[],"[""WSACC_ID"", ""PIPENO"", ""PIPE_TYPE""]",ready_for_current_utility_proxy_features_not_capacity,True,False
wsacc_districts_revalmap,RevalMap WSACC Districts,utility_proxy,sewer_service_district_proxy,WSACC/RevalMap,45,https://location.cabarruscounty.us/arcgisservices/rest/services/RevalMap/MapServer/45,active,ws_districts,esriGeometryPolygon,9,"[""OBJECTID"", ""DISTRICT"", ""AREA_NUMBER"", ""SHAPE"", ""SHAPE.STArea()"", ""SHAPE.STLength()""]",[],[],[],[],[],"[""DISTRICT""]",ready_for_current_utility_proxy_features_not_capacity,True,False
tax_parcels_full,Cabarrus Tax Parcels Full,tax_parcel_full,parcel_value_enrichment_reference,Cabarrus County,0,https://location.cabarruscounty.us/arcgisservices/rest/services/Tax_Parcels_Full/MapServer/0,active,Tax Parcels,esriGeometryPolygon,110215,"[""Shape_Length"", ""Shape_Area"", ""OBJECTID_1"", ""PIN14"", ""OBJECTID"", ""SHEET"", ""BLOCK"", ""ParcelNum"", ""CODE"", ""PIN"", ""OLDPIN"", ""YEAR_"", ""SUBDIV_NAME"", ""LOT_NUM"", ""NBH_NAME"", ""NBH_NUM"", ""CALCULATED_ACREAGE"", ""PropertyReal_ID"", ""PARCEL"", ""LegalDesc"", ""LandUnits"", ""MarketValue"", ""AssessedValue"", ""PriorLandValue"", ""PriorSpecialLandValue"", ""PriorDeferredValue"", ""PriorBuildingValue"", ""PriorObxfValue"", ""PriorTotalValue"", ""LandValue"", ""SpecialLandValue"", ""DeferredValue"", ""BuildingValue"", ""ObxfValue"", ""PlatBook"", ""PlatPage"", ""UnitsType"", ""AcctNumber"", ""AcctName1"", ""AcctName2"", ""MailAddr1"", ""MailAddr2"", ""MailAddr3"", ""MailCity"", ""MailState"", ""MailZipCode"", ""SaleYear"", ""SaleMonth"", ""SalePrice"", ""DeedBook"", ""DeedPage"", ""InstrumentType"", ""QualifiedCode"", ""TransferOrSplit"", ""VacantOrImproved"", ""DateQuestionnairePrinted"", ""Shape""]","[""LandUnits"", ""PriorLandValue"", ""PriorSpecialLandValue"", ""LandValue"", ""SpecialLandValue""]","[""PIN14"", ""ParcelNum"", ""PIN"", ""OLDPIN"", ""PARCEL""]",[],"[""DateQuestionnairePrinted""]","[""LandUnits"", ""MarketValue"", ""AssessedValue"", ""PriorLandValue"", ""PriorSpecialLandValue"", ""PriorDeferredValue"", ""PriorBuildingValue"", ""PriorObxfValue"", ""PriorTotalValue"", ""LandValue"", ""SpecialLandValue"", ""DeferredValue"", ""BuildingValue"", ""ObxfValue"", ""VacantOrImproved""]",[],ready_for_gap_check_do_not_overwrite_base_parcels,True,False
concord_sewer_allocation_policy_pdf,Concord Sewer Allocation Policy PDF,sewer_allocation_document_inventory,pdf_reference,Concord,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
concord_sewer_allocation_project_summary_pdf,Concord Sewer Allocation Project Summary PDF,sewer_allocation_document_inventory,pdf_reference,Concord,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
kannapolis_wastewater_allocation_policy_pdf,Kannapolis Wastewater Allocation Policy PDF,sewer_allocation_document_inventory,pdf_reference,Kannapolis,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
kannapolis_wastewater_allocation_exhibit_a,Kannapolis Wastewater Allocation Exhibit A,sewer_allocation_document_inventory,pdf_or_table_reference,Kannapolis,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
harrisburg_current_projects_web,Harrisburg Current Projects Web Reference,development_pipeline_document_inventory,web_reference,Harrisburg,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
harrisburg_residential_summary_pdf,Harrisburg Residential Summary PDF,development_pipeline_document_inventory,pdf_reference,Harrisburg,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
crmpo_mobility_web,CRMPO Mobility / Transportation Planning Reference,transportation_planning_document_inventory,web_reference,Regional,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
ncdot_cabarrus_rowan_ctp_web,NCDOT Cabarrus-Rowan CTP Reference,transportation_planning_document_inventory,web_reference,Regional,,,inventory_only_url_needed,,,,,,,,,,,document_inventory_only,True,False
